,news,category,title,summary,link,date,time,datetime,ID
193,"Trump impeachment: Senators play games and nap during trial. Senators have been seen chewing gum, handing out fidget spinners and sleeping during the trial.","['BBC News - Home', 'BBC News - World']",Trump impeachment: Senators play games and nap during trial,"Senators have been seen chewing gum, handing out fidget spinners and sleeping during the trial.",https://www.bbc.co.uk/news/world-us-canada-51231047,"(2020, 1, 24)","(0, 54, 39)","Fri, 24 Jan 2020 00:54:39 GMT",e879990207d794de083400cf9d7b07ea
39,Auschwitz: How death camp became centre of Nazi Holocaust. It is 75 years since Soviet Union troops liberated Auschwitz - now marked as Holocaust Memorial Day.,['BBC News - Home'],Auschwitz: How death camp became centre of Nazi Holocaust,It is 75 years since Soviet Union troops liberated Auschwitz - now marked as Holocaust Memorial Day.,https://www.bbc.co.uk/news/world-europe-50743973,"(2020, 1, 23)","(1, 6, 25)","Thu, 23 Jan 2020 01:06:25 GMT",40e1e735ed0df2efb68086d055a05a40
38,Coronavirus: British passenger 'wasn't sure' he could get out of Wuhan. British passenger describes the journey from the virus-hit Chinese city of Wuhan after the spread of coronavirus.,"['BBC News - World', 'BBC News - UK', 'BBC News - Health']",Coronavirus: British passenger 'wasn't sure' he could get out of Wuhan,British passenger describes the journey from the virus-hit Chinese city of Wuhan after the spread of coronavirus.,https://www.bbc.co.uk/news/uk-51219364,"(2020, 1, 23)","(8, 6, 3)","Thu, 23 Jan 2020 08:06:03 GMT",3fe56524838c2f5d2e805e5f4df5130c
80,"Davos 2020: Being a teen activist is all consuming. Still only 19, environmental activist Melati Wisjen launched her first campaign at the age of 12.",['BBC News - Business'],Davos 2020: Being a teen activist is all consuming,"Still only 19, environmental activist Melati Wisjen launched her first campaign at the age of 12.",https://www.bbc.co.uk/news/business-51190449,"(2020, 1, 21)","(11, 16, 43)","Tue, 21 Jan 2020 11:16:43 GMT",7bf693471e60bee535a9bdc7317ee78b
7,"NHS manager gloated over coverage of care home death. A mental health trust claims it ""got away with it again"" over news coverage of a woman's death.",['BBC News - Health'],NHS manager gloated over coverage of care home death,"A mental health trust claims it ""got away with it again"" over news coverage of a woman's death.",https://www.bbc.co.uk/news/uk-england-norfolk-51224339,"(2020, 1, 23)","(18, 43, 0)","Thu, 23 Jan 2020 18:43:00 GMT",119cc6a2bfbd0831f48a132346310472
26,How Italy's far right is hoping to cause a political earthquake. Matteo Salvini is hoping to cause a political shock by winning a traditional stronghold of the left.,"['BBC News - Home', 'BBC News - World']",How Italy's far right is hoping to cause a political earthquake,Matteo Salvini is hoping to cause a political shock by winning a traditional stronghold of the left.,https://www.bbc.co.uk/news/world-europe-51227884,"(2020, 1, 24)","(0, 8, 3)","Fri, 24 Jan 2020 00:08:03 GMT",31e5cbd9367a0186f293526f04104cc4
155,China's travel industry counts cost of coronavirus. Airlines and hotels are having to pay out refunds to tourists affected by the deadly outbreak.,['BBC News - Business'],China's travel industry counts cost of coronavirus,Airlines and hotels are having to pay out refunds to tourists affected by the deadly outbreak.,https://www.bbc.co.uk/news/business-51232374,"(2020, 1, 24)","(6, 4, 46)","Fri, 24 Jan 2020 06:04:46 GMT",cb188a93bd6807cd4404cbdd67c7c5e8
73,Davos 2020: Can Formula 1 really go 'carbon neutral' by 2030?. Can Formula 1 motor racing really go 'carbon neutral' by 2030?,['BBC News - Business'],Davos 2020: Can Formula 1 really go 'carbon neutral' by 2030?,Can Formula 1 motor racing really go 'carbon neutral' by 2030?,https://www.bbc.co.uk/news/business-51226066,"(2020, 1, 23)","(19, 0, 38)","Thu, 23 Jan 2020 19:00:38 GMT",79622d483f493891c98f840de53c570d
63,"Brexit negotiations: Five lessons for the next phase. Brexit day is fast approaching, with UK and EU officials set to start negotiations about the future relationship.",['BBC News - UK Politics'],Brexit negotiations: Five lessons for the next phase,"Brexit day is fast approaching, with UK and EU officials set to start negotiations about the future relationship.",https://www.bbc.co.uk/news/uk-politics-51221725,"(2020, 1, 23)","(13, 7, 37)","Thu, 23 Jan 2020 13:07:37 GMT",68138e4ab350d977a230e818309da855
102,Jeff Bezos hack: UN experts demand probe of Saudi crown prince. The UN experts' call comes amid reports Mohammed bin Salman's phone was used to hack the Amazon boss.,['BBC News - Technology'],Jeff Bezos hack: UN experts demand probe of Saudi crown prince,The UN experts' call comes amid reports Mohammed bin Salman's phone was used to hack the Amazon boss.,https://www.bbc.co.uk/news/world-us-canada-51210743,"(2020, 1, 22)","(20, 48, 46)","Wed, 22 Jan 2020 20:48:46 GMT",a0794e3cb8def894422e173eda640999
65,What is the Withdrawal Agreement Bill?. 'The WAB' has passed all its stages in Parliament. Here's what it is.,['BBC News - UK Politics'],What is the Withdrawal Agreement Bill?,'The WAB' has passed all its stages in Parliament. Here's what it is.,https://www.bbc.co.uk/news/uk-politics-50125338,"(2020, 1, 23)","(14, 55, 40)","Thu, 23 Jan 2020 14:55:40 GMT",708a464e9f073211a3d85ee26ae5ba58
27,"Extinction: A million species at risk, so what is saved?. With around one million species at risk, how do conservationists decide what species to save?",['BBC News - Science & Environment'],"Extinction: A million species at risk, so what is saved?","With around one million species at risk, how do conservationists decide what species to save?",https://www.bbc.co.uk/news/science-environment-50788571,"(2019, 12, 28)","(0, 24, 42)","Sat, 28 Dec 2019 00:24:42 GMT",328e17e33fc3db5d692f535ec0e2c3cb
88,"Sir David Attenborough warns of climate 'crisis moment'. We're at a pivotal point in efforts to tackle climate change, the naturalist and broadcaster warns.",['BBC News - Science & Environment'],Sir David Attenborough warns of climate 'crisis moment',"We're at a pivotal point in efforts to tackle climate change, the naturalist and broadcaster warns.",https://www.bbc.co.uk/news/science-environment-51123638,"(2020, 1, 16)","(5, 0, 11)","Thu, 16 Jan 2020 05:00:11 GMT",92a19590ac43ffd2ba07858c8a493f24
91,"Davos 2020: Prince Charles meets Greta Thunberg. The heir to the throne calls for a ""paradigm shift"" in the way the world deals with climate change.",['BBC News - Science & Environment'],Davos 2020: Prince Charles meets Greta Thunberg,"The heir to the throne calls for a ""paradigm shift"" in the way the world deals with climate change.",https://www.bbc.co.uk/news/uk-51211853,"(2020, 1, 22)","(16, 21, 31)","Wed, 22 Jan 2020 16:21:31 GMT",95bce852ad30294d3215197e87445f0a
185,Burnout: 'Sick and tired of feeling sick and tired'. Amber Coster's physical symptoms baffled doctors - until a psychiatrist examined her way of working.,"['BBC News - Health', 'BBC News - Technology']",Burnout: 'Sick and tired of feeling sick and tired',Amber Coster's physical symptoms baffled doctors - until a psychiatrist examined her way of working.,https://www.bbc.co.uk/news/technology-50604035,"(2020, 1, 22)","(1, 15, 57)","Wed, 22 Jan 2020 01:15:57 GMT",fab52620d3829951f8a2b80466caea71
174,"Australia fires: US crew killed in air tanker crash identified. The three victims of an air tanker crash had extensive experience fighting fires, their employer says.","['BBC News - Home', 'BBC News - World']",Australia fires: US crew killed in air tanker crash identified,"The three victims of an air tanker crash had extensive experience fighting fires, their employer says.",https://www.bbc.co.uk/news/world-australia-51231983,"(2020, 1, 24)","(4, 17, 16)","Fri, 24 Jan 2020 04:17:16 GMT",e408a44884792584051a302c9249e838
18,"John Bercow 'categorically' denies bullying allegations. The ex-Speaker also criticises No 10 for not ""honouring the centuries-old convention"" by making him a Lord.",['BBC News - UK Politics'],John Bercow 'categorically' denies bullying allegations,"The ex-Speaker also criticises No 10 for not ""honouring the centuries-old convention"" by making him a Lord.",https://www.bbc.co.uk/news/uk-politics-51226986,"(2020, 1, 23)","(16, 47, 31)","Thu, 23 Jan 2020 16:47:31 GMT",23549d7bdd9627b6b3f43121764f1f50
133,"Swiss hospital drones to take off again. Two crashes prompted an investigation into safety standards, which is now complete.",['BBC News - Technology'],Swiss hospital drones to take off again,"Two crashes prompted an investigation into safety standards, which is now complete.",https://www.bbc.co.uk/news/technology-51228214,"(2020, 1, 23)","(17, 19, 55)","Thu, 23 Jan 2020 17:19:55 GMT",c0e03f06549cd48ae7c7670a77f5ba39
